time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.43776945391e-07,-6.10675632128e-08,10.0039259916,6.28286230014,0.0005022418473,0.0,-5.22626596928e-05,-1.59633049457e-05,0.130859599755,-0.019233551481,0.0213234333636,0.0,445.70125360540777,447.4402095032293,447.37990556362234,445.81147825643575
0.12000000000000001,-1.75860744517e-05,-1.05666516389e-05,10.0128382383,6.28216794339,0.00142707339417,0.0,-0.000617955147648,-0.000416647787435,0.166210308732,0.000502881793625,-0.000301852877652,0.0,417.09564136297445,415.20299826817006,414.79816803663095,416.5275434565365
0.18,-8.8628751756e-05,-5.98750831442e-05,10.0290837855,6.28192679748,0.00120876028195,0.0,-0.00173729808187,-0.00123698956084,0.375262010086,-0.015089692734,-0.0113249707445,0.0,470.05556230086773,469.20076813921406,471.5326550283798,470.3268352951821
0.23999999999999996,-0.000211943665147,-0.000159093922942,10.0514553105,6.28065964173,0.000670261752476,0.0,-0.00232085145453,-0.00216070790738,0.370457018399,-0.037280197176,-0.00464663156457,0.0,401.92204592141155,402.52686897920546,403.6379890263208,401.63058190141345
0.3,-0.000366370719542,-0.000353963428267,10.0782461334,6.2779825475,0.00130186417234,0.0,-0.00285735586743,-0.00459663392605,0.52251170025,-0.0663114962729,0.0305503431352,0.0,451.28240367329454,454.11407563938104,455.03152597580964,452.7005448178916
0.36000000000000004,-0.000579919575587,-0.000778924965643,10.1170430187,6.27393023214,0.0037173581955,0.0,-0.00453004254811,-0.0100654418469,0.770579722988,-0.0701118528874,0.0547783858658,0.0,481.6992961283572,483.5283535047337,481.37138705894114,481.08071355890405
0.4200000000000001,-0.000947177999473,-0.00160030200524,10.1672829619,6.26959845175,0.00808361258399,0.0,-0.00813528848313,-0.0177690047659,0.903981544369,-0.0767276151841,0.0951558786565,0.0,446.1705421261127,449.4581473859964,448.4776454372877,447.9360414411487
0.48000000000000015,-0.00164456781626,-0.00299716512325,10.2267655417,6.26462555524,0.0136495828878,0.0,-0.0157476303983,-0.0293272764924,1.07860773722,-0.0995018266152,0.0875023524122,0.0,460.29064297215007,459.69155939221844,462.6049482926712,460.80280080512176
0.5400000000000001,-0.00290751281191,-0.0051845089518,10.2955659731,6.25847136204,0.0190089780532,0.0,-0.026918253655,-0.0442310734237,1.21458243852,-0.109540238366,0.0927344764937,0.0,449.8642934730737,450.2942405980263,449.16833355616865,448.3444937137878
0.6000000000000002,-0.00502350174602,-0.00848293559847,10.375707114,6.25292919082,0.0253058183288,0.0,-0.0443477008418,-0.0664384273967,1.45647650268,-0.0706509896038,0.122147606668,0.0,479.54604312161365,481.7831755276969,480.6788085811445,483.60935211744396
0.6600000000000003,-0.00821649147309,-0.0130885983168,10.4653818521,6.24861128395,0.0322693082442,0.0,-0.0627906888254,-0.0875011343731,1.53254760691,-0.0747305548638,0.0996905908813,0.0,432.3299232714782,430.4460090022214,431.89241707051724,431.54405838128156
0.7200000000000003,-0.0126545583403,-0.0190497724018,10.5597508782,6.24378967138,0.0379352732045,0.0,-0.0857215185939,-0.111657802804,1.61293736334,-0.0950523705675,0.0810220130841,0.0,433.6998734278093,432.13686078634765,434.4231752198203,432.71035416912434
0.7800000000000004,-0.0186384453712,-0.0266243129113,10.660487079,6.23806188153,0.0426643363453,0.0,-0.114246410299,-0.141428179677,1.74469451893,-0.0962970321944,0.074001215039,0.0,450.6008968818285,450.0378861000303,449.2947350021125,449.18616671801925
0.8400000000000004,-0.0264922835738,-0.0361700521164,10.7704402361,6.231867906,0.0466382809875,0.0,-0.148022109786,-0.177419906524,1.92007361404,-0.123057251146,0.0423635336433,0.0,464.9070492690534,462.4245219534996,464.6129705584776,462.50104951930825
0.9000000000000005,-0.0365367964842,-0.0481145160999,10.8926186752,6.22421304129,0.0487172550355,0.0,-0.187067016825,-0.221617877228,2.15206181079,-0.138641870132,0.0110591673657,0.0,482.4951266701576,480.1264525794018,481.3627119832254,480.1682813156034
0.9600000000000005,-0.048734527671,-0.0626164438585,11.0239632681,6.21571189525,0.049035612873,0.0,-0.219569481236,-0.262595420398,2.2258868896,-0.148590573456,-0.00984141260452,0.0,434.1457897254889,432.38860612219185,434.7172793883633,433.8635545294439
1.0200000000000005,-0.0628881856517,-0.0797536741974,11.1598036641,6.20665330903,0.0484218144621,0.0,-0.252153188246,-0.309519700747,2.30190449574,-0.156227828993,-0.0110186441361,0.0,434.1282858705,434.0296207076983,436.12771838078186,435.467363147673
1.0800000000000005,-0.079215961217,-0.100263001273,11.304964762,6.1968364404,0.0475862380645,0.0,-0.291992600941,-0.37524657628,2.53620172633,-0.185502549389,-0.0204887060771,0.0,483.5629191689109,482.84916553668745,485.14681111350603,482.9198695195255
1.1400000000000006,-0.0979573448967,-0.125052548859,11.4651302431,6.18567227855,0.0464216335595,0.0,-0.332540166813,-0.45242686199,2.80188905898,-0.187225952803,-0.0173358068657,0.0,493.50053116325415,493.7332748722013,494.14522797875446,493.98837660132665
1.2000000000000006,-0.118904947468,-0.154334825216,11.6369546108,6.17413726373,0.0453156240949,0.0,-0.365586615673,-0.524815193886,2.92513777184,-0.204875583869,-0.0207243877154,0.0,453.62339897208386,453.35127337470294,453.7005799618147,452.2456326097242
1.2600000000000007,-0.141810367557,-0.188209223106,11.8161284289,6.1617340346,0.0438115423821,0.0,-0.397770909063,-0.605593602196,3.04682975562,-0.210684724828,-0.0355973495253,0.0,454.6160849028576,453.4226690847459,453.6982575699925,453.19046553500255
